CW;AW
12,6;5,6
12;5,3
12,7;5,9
14;6,3
13,6;6,3
12,1;5,4
12,6;5,9
10,9;4,7
12,1;5,2
10,9;4,5
14,3;6,6
12;4,9
14,25;7
12,8;6,1
12,5;5,6
13,5;6
13,4;6,25
11,9;5,7
10,5;4
10,35;4,2
9,8;3,7
11;4,5
11,2;4,9
8,1;2,9
9,8;3,9
11;4,6
12,5;5,7
12,2;5,7
10,95;4,8
9,5;3,7
12,3;5,5
9,2;3,4
11,45;5,1
8,65;3,1
12,05;5
11,7;5,1
12,4;5,4
10,6;4,4
12,5;5,8
11,55;5,3
10,7;3,8
11,9;5,5
11,9;4,9
11,3;5
12,6;5,4
10,8;4,7
10,8;4,5
11,3;5,2
12,9;5,7
11,2;4,5
12,1;5,4
11,9;5,1
12,3;5,6
13,9;6,6
12,2;5,2
11,3;4,8
11,5;5,3
9,4;3,3
11,6;4
8,5;3,1
11,9;5
11,4;4,1
11,75;5,4
12,15;5,2
11,9;5,1
9,6;3,4
10,1;3,9
10;3,9
12,8;5,5
11;4,8
10,8;4,5
12,5;5,6
13,2;5,8
11,5;4,9
12;4,9
7,4;2,5
7,8;2,8
11,6;4,9
11,3;4,7
8,1;2,8
13,7;6,2
9,8;3,9
13,3;6
11,5;5
9,6;3,7
11,75;5,1
11,5;5
12;5,5
12,3;5,2
10,7;4,2
11,3;4,8
14;6,2
12,85;5,4
12,9;5,8
12,5;5,2
12,45;5,5
12,3;5,3
11,6;5,1
12,3;5,3
10,4;4,2
10,8;4,8
13,55;6
12;5,2
14,8;6,37
13,2;5,9
11,8;5,2
13,2;5,5
11,6;4,6
12,1;5,3
13,7;6,1
14,7;6,4
12,6;5,4
13,5;6,1
11,9;5,2
12,35;5,3
13,7;5,77
11,8;5,3
12,8;5,5
13,2;5,5
12,4;6
13,2;6,4
11,9;5
12,1;5,1
12,6;5,5
12,4;5,4
11,6;5,2
15;6,7
12,3;5
12,8;5,8
12,9;5,6
11,5;5
11;4,4
11,6;5,3
11,1;5
10,3;3,9
12;5,1
13,5;6,2
9,3;3,5
12,5;5,7
9,95;3,8
11,6;4,25
11,4;5,1
11,8;5,35
11,7;5,25
11;4,4
11,7;5,2
10,7;4,3
11,6;4,7
10,7;3,8
9,35;3,5
10,7;4,3
13,35;6
13,3;6,3
12,2;5,4
14;5,9
9,8;4
10,5;4,3
13,1;5,9
11,2;5,2
13,5;6
10,7;3,8
11,4;4,8
12,5;5,2
11,9;5,3
12,2;5,1
10,7;4,5
11,7;5,1
11,9;5,5
12,6;5,8
12,8;5,6
10,9;4,6
11,9;5,2
11,8;4,8
12,4;5,55
12,3;5,7
10,3;4
11;4,4
8,65;3,2
8,7;3,5
12,5;5,6
12,65;5,95
12,1;5,4
12,15;5,4
11,6;5,2
13,5;5,8
12,7;5,7
12,5;5,5
12,9;5,7
11,2;4,8
13,4;6,3
13,95;6,35
13,6;5,8
13,2;5,9
14,1;6,4
12,6;5,2
13,75;6,6
13,35;6,1
12,9;5,8
11,8;5,1
12,4;5,2
13,8;6
12,2;5,5
12;4,9
13;5,8
12,4;5,5
13;6,1
11,4;4,9
11;4,6
12,6;5,5
12,5;5,1
12,7;5,3
12;5,2
9,8;4,2
9,8;3,65
8,7;3,35
13,3;6
12,7;5,5
13,5;5,9
11,7;4,3
12,1;5,4
8,95;3,3
10,3;4,2
12,1;5,4
11,5;5
9,9;3,65
12,1;5,3
11,9;5,1
11,65;4,85
12;5,4
11,95;5,1
12,8;5,9
12;4,8
14,4;6,4
11,05;4,9
12,8;5,5
7,3;2,75
8;3
11;4,9
11,85;5,2
11,75;4,25
11,4;5,1
12,1;5,4
13,1;6,1
11;4,8
11,9;5,1
11,7;5,35
11,6;5,4
12,6;5,8
10,5;4,2
12,3;5,5
10,4;4,4
12,7;6,1
11,6;5,5
12,6;6,1
11,3;5,1
10,65;4,5
8,1;2,85
7,7;2,6
12,5;5,6
13,1;6
12,5;5,9
11,2;4,6
12,8;5,6
10,4;4,4
12,85;6
12;5,2
11,75;5,1
11,95;4,75
12,5;5
11,6;5,4
10,5;4,1
8,5;3
10,5;3,8
12,05;5,27
11,95;5,55
9,8;3,9
13;5,7
14;6,5
11,9;5
11,9;5,15
12,4;5,3
13,8;6,1
11,4;4,9
9,4;3,35
10,6;4,4
11,7;4,6
8,7;3
13,3;5,5
10,2;3,9
12,5;5,7
14,2;6
12,95;5,8
12;4,9
11,4;5
11,3;4,7
13,5;6,4
11,1;3,8
13,4;5,8
10,5;4,3
9,2;3,3
11,6;5,15
10,7;4,5
10,4;4,4
9,7;3,8
11,5;5
10,05;4
12,5;5,8
11,7;4,7
9,8;3,9
15,15;7,1
13,3;6,6
13,55;5,6
14,1;6,3
9,8;3,6
14,2;6,1
13,4;6,1
13,35;5,55
13,9;6,1
12,6;5,2
13,1;6
14,2;6,8
14,1;6,35
13;5,7
14,2;6,1
13,7;6,5
12,7;5
13,5;5,9
11,6;4,8
13;5,8
13,4;6,05
12,3;5,3
12,1;5,2
10,7;4,6
11,2;4,1
10,5;4,3
10,7;4,4
12,1;5,7
10,8;4,6
11,2;4,9
13;5,5
11,35;5
13,3;5,4
12,7;5,65
9,7;3,5
12,9;5,7
11,1;4,6
10,95;4,8
12,9;6,1
10,5;4,15
9,2;3,3
8,3;2,9
7,7;2,7
12;5,5
12,4;5,5
12,5;5,9
11,5;5,05
11;4,2
11,85;4,9
11,95;5,1
11,4;5
12;5,4
11,95;5,1
12,75;5,45
11,9;5,2
11,1;5
11,7;5,1
13;5,8
11,7;4,9
12,5;5,6
10;3,9
8,4;2,8
12,3;5,3
11,1;4,5
11,7;4,7
11,65;4,4
10,8;4,3
12,3;5,85
12,2;5,3
9,75;4
10,6;4,15
8;2,7
12,5;5,2
11,55;4,85
11,15;4,5
12,3;5,5
10,9;4,5
11,8;5,4
12,6;5,75
10,7;4,35
12,25;5,6
12,3;5,1
12,3;5,6
6,8;2,5
7,05;2,7
7;2,5
10,8;4,65
7,16;2,65
9,4;3,45
12,8;6,2
12,9;5,7
6,5;2,3
9,9;3,7
9,2;3,4
12,95;5,7
12,4;5,6
8,9;3,2
10,1;3,65
12,1;5,15
10,5;3,8
10,7;4
9,9;3,9
9,8;3,6
9,8;3,65
9,2;3,6
13,3;5,8
10,3;4
5,5;1,6
6,3;2
8,1;2,6
10,9;4,4
8,7;3,5
9,75;3,7
8,9;3,4
10,5;4,1
9,4;3,5
9,8;4,15
12,5;5,4
9,25;3,6
9,9;3,4
9,5;3,4
10;3,6
9,5;3,5
14,25;6,1
10,45;4,4
8,85;3,5
12,45;5,3
11,1;4,4
11,6;5,1
9,8;3,85
9,75;3,8
8,5;3,1
6,1;1,9
7,1;2,2
7,8;2,4
6,8;2,25
6,6;1,9
5,15;1,45
5,5;1,5
6;1,85
6,9;2,2
6;1,8
6;1,8
6,4;2
7,4;2,25
6,25;1,95
6,7;2,1
7,7;2,5
7,75;2,6
7,7;2,4
7,15;2,5
7,85;2,7
8,1;2,5
8,15;2,3
5,3;1,6
12,85;5,6
12,8;5,9
5,48;1,59
10;3,3
9,9;3,9
11;4,1
10,3;4,2
10;3,62
8,46;3
8,4;2,9
9,3;3,46
8,4;2,97
9,53;3,61
10,8;4,14
8,4;3
7,78;2,65
12,2;5,3
10,32;3,7
8,72;3,2
10,9;4,65
9,5;3,56
8,8;3,12
9,8;3,9
5,45;1,65
6,29;1,79
15,6;7,01
15,06;7,52
6,8;2,29
6,6;2,06
6,35;1,81
6,55;2
6,5;1,99
5;1,3
9,35;3,6
12,3;4,87
9,64;3,62
9,12;3,36
9,8;3,7
10,06;3,72
13,8;6,12
12,75;6
14,02;6,35
5,05;1,5
6,7;1,9
5,51;1,53
10,26;3,95
12,4;5,9
12,8;5,75
7,71;2,61
12,5;5,85
6,62;2,15
5,8;1,6
